Code Cegid;Historique
EMBAO;
EMBM;"<strong>15/10/2015&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;rdv le 15/10/2015 voir cr<BR><BR><BR>"
EMA;Livrent STREIT MECANIQUE CLERVAL M. LELONG
EMBA;"<strong>15/05/2017 CECILE G</strong>&nbsp;:&nbsp;Faire Tarif décalé de 2 colonnes pour les offres catalogue (concurrence)<br />
<strong>08/03/2016&nbsp;CECILE G&nbsp;:</strong>&nbsp;Sous traitant logistique, distributeur : Appliquer tarif décalé d'une colonne<br />
<strong>07/03/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;société engagée dans une démarche de réduction des volumes de déchets par mise en œuvre d'emballages performants<br />
&nbsp;"
EMCO;"<strong>01/12/2015&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;Mail envoyé à MR RESCH le 13/10/2015 pour demande de rdv<BR><BR>"
CLEM;"<strong>28/06/2016&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;visite effectuée à la division ClemessyNucléaire (M.ALLA) voir cr<BR><BR>"
EME;"<strong>09/03/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;info de Géraldine : résiliation de garantie<BR><BR>"
EMGP;"<strong>26/05/2016&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;M. Hérisson maintenant basé chez Ivea à Vibraye à 12 km : l'appeler à Vibraye<BR><strong>20/05/2016&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;fournisseur de Paulstra : M. de Malezieux nous demande d'y passer pour sécuriser le flux IN : je les contacte<BR><strong>09/09/2011 JACQUES G :</STRONG> reçoivent des barres antiroulis de Vallourec qu'ils grenaillent avant de les renvoyer sous VCI à ACI Le Mans ou Renault Valladolid : attention pièces chaudes et sans POL en sortie grenaillage !<BR>"
END;
ENR;
EPC;
EPE;
ER;
ESAT;
ESATM;"<strong>02/10/2015&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;visite le 01/010/2015 , M. ALLEMANDET alerte la non maitrise de d'epaisseur de la gaine, rbourgeoisvoir CR<BR><BR>10/07/2013 : visite JGL / M. Allemandet suite à réception nouvelle définition gaine laize 80 mm en V510 qui ne leur convient pas"
ESATC;
ESCO;
ESS;"<strong>20/10/2016 JACQUES G</strong>&nbsp;:&nbsp;vu M. Bordais pour point général - voir CRV<br />
<strong>19/09/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;tél M. Bordais : OK / rdv 20/10 pour point - envoyé mail confirm<br />
<strong>13/09/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;M. Bordais en congés : rappeler vendredi<br />
<strong>27/05/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;appelé M. Bordais : en déplacement à l'étranger : rappeler &gt; 15 juin<br />
<strong>28/04/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;pas de réponse : relance : pas joignable<br />
<strong>22/04/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;mail à M. Bordais : brochure, catalogue, proposition visite le 20 mai<br />
<strong>22/04/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;85% nucléaire&nbsp; 10% NAVAL &nbsp;5% autres prendre rdv avec M. Bordais pour point PMUC car achète à la concurrence<br />
<strong>17/02/2015 JACQUES G&nbsp;:</strong>&nbsp;incendie de Essinox Salvi<br />
<br />
CA 2011 :<br />
&nbsp;"
EST;14/09/2010 : visite de JGL sur pb corrosion : emballent des pièces humides : RV, phase 2, offre JGL 10/309
ETC;
ETE;
ETEL;
ETIR;
ETNA;
CAM;
EURO;
EUROPE;
EXCEL;<P>Devenu ALIZON INDUSTRIE depuis le 24/06/14</P>
EXCP;
EXCORC;
EXCOTC;
FMX;
FACM;
LINA;"<strong>15/12/2015&nbsp;CECILE G&nbsp;:</STRONG>&nbsp;Site fermé, transféré St-Chamond (Linamar St-Chamond)<BR>13/05/2011 : consultation avec menace de passer avec un low cost<BR>23/05/2011 : offre JGL 11/226 avec baisse de 20 % ou plus selon postes (une ref en V510 proposée en V450)<BR>30/05/2011 : demande de décision<BR>21/06/2011 : relance&nbsp;<BR>04/09/2014 : visite de S. Berthe chez Acobal + Agripolyane"
FAMERP;
LINAM;"<strong>26/10/2017 JEAN-MICHEL B</strong>&nbsp;:&nbsp;visite le 23/10/17 avec hagen voir cr<br />
<br />
<strong>08/09/2016&nbsp;JEROME V&nbsp;:</strong>&nbsp;Envoi Rapport analyse de surface pièce corrodée : présence de nitrate principale cause de corrosion<br />
<br />
<strong>06/04/2016&nbsp;JEROME V&nbsp;:</strong>&nbsp;Envoi du rapport des tests à M. Massardier et proposition d'un test grandeur nature avec capteurs<br />
<strong>11/03/2016&nbsp;JEROME V&nbsp;:</strong>&nbsp;Envoi par email d'une synthèse des tests laboratoire sur 2 échantillons de liquide de process (voir copie email dans fiche affaire corrosion Daimler)<br />
<strong>07/01/2016&nbsp;JEROME V&nbsp;:</strong>&nbsp;Réalisation d'un audit d'un audit de process (voir fiche affaire Problème corrosion Daimler Kassel)<br />
<strong>08/12/2015 JACQUES G : </strong>reçu photos de corrosion de M. Mansard : transmises à JV pour info et dde d'action<br />
<strong>02/12/2015&nbsp;JACQUES G&nbsp;:</strong>&nbsp; visite M. Faure pour faire un point général : nouvelle grille d'offre pour 2016 intégrant nouvelles réfs demandée à Cécile - demande support technique de M. Mansard suite pb corrosion - prévoir faire venir M. Faure à St Chamond<br />
<strong>06/10/2015&nbsp;CECILE G&nbsp;:</strong>&nbsp;M. Faure&nbsp;a remplacé M. Blanchard pendant l'été<br />
<strong>30/06/2015&nbsp;JACQUES G&nbsp;:</strong>&nbsp;visite&nbsp;M. Blanchard pour information générale, visite atelier et optimisation des fournitures<br />
&nbsp;<br />
CA 2011 : 4 779 €&nbsp;&nbsp; 2012 : 11 651 €&nbsp;&nbsp; 2013 : 23 618 €&nbsp;&nbsp; 2014 : 29 876 €&nbsp;&nbsp;&nbsp;&nbsp; 2015 : 22 967 €&nbsp;&nbsp;&nbsp; 2016 : 23 501 €"
FAUR;
FAR;"19/07/2007 : visite PYD pour basculer de housse neutre en housse VCI<BR>20/11/2009 : visite JGL pour prendre en compte un pb de corrosion malgré housse VCI<BR>25/02/2010 : essais laboratoire Dresde terminés<BR>26/03/2010 : exposé du pb, de ses causes et des mesures correctives proposées par JV + JGL<BR>06/09/2011 : visite JGL / Mme Lauzel pour lancement essais cartons VCI<BR>03/08/2012 : appel de Mr Denis Bleuet concernant l'utilisation des sachets déshydratants. Il remplace Mme Lauzel durant son congé maternité. Même numéro de tel : 02 33 14 32 07<BR>Mail : <A href=""mailto:denis.bleuet-ext@faurecia.com"">denis.bleuet-ext@faurecia.com<BR></A>15/10/2012 : visite ES + JGL pour point et remise de housses 835x640x1800 en V380 pour essais dans le cadre amélioration continue"
FAUNO;"<strong>13/10/2017 JACQUES G</strong>&nbsp;:&nbsp;tél à Mme Catherine : toujours Antalis pour les VCI de Faurecia division sièges Europe : me demande quelles divisions Faurecia consultent nos collègues en europe de l'Est ?<br />
<strong>23/01/2017&nbsp;JACQUES G&nbsp;:</strong>&nbsp;tél à Mme Catherine pour lui présenter mes vœux et savoir si tout OK avec Antalis : laissé message sur répondeur<br />
<strong>15/09/2015&nbsp;JACQUES G&nbsp;:</strong>&nbsp;mail de Mme Catherine nous informant de l'arrêt des commandes de VCI chez Acobal<br />
<strong>24/04/2013 JACQUES G :</strong> Mme Léon travaille en alternance dans le service de Mme Catherine les mercredi, jeudi et vendredi : pas joignable lundi et mardi<br />
<strong>04/11/2011 JACQUES G :</strong> visite JM + JGL / Mme Catherine<br />
<strong>18/10/2011 JACQUES G :</strong> Mme Catherine informe d'essais concurrents<br />
<strong>27/06/2011 JACQUES G :</strong> offre récapitulative JGL 11/28<br />
<strong>10/06/2011 JACQUES G :</strong> réunion à Etampes pour point achats centraux Mme Catherine + M. Bennis + JGL<br />
<br />
<br />
<br />
&nbsp;"
FAUN;29/08/2011 : visite JGL / M. Maillard pour faire un point sur utilisation housses V510 et éventuel passage en V450
FAVI;"<strong>12/07/2017 JACQUES G</strong>&nbsp;:&nbsp;vu M. Hurtelle pour point sur situation et perspectives évolutions - voir CRV<br />
<strong>30/06/2017 JACQUES G</strong>&nbsp;:&nbsp;tél à M. Hurtelle pour relance proposition de rdv le 12/07 : laissé message&nbsp;tél et envoyé un mail&nbsp;: OK / 12/07 à 11h00<br />
<strong>24/05/2017 JACQUES G</strong>&nbsp;:&nbsp;reçu cde de 5 400 € de HZV320A-620x420x680mm : envoyé mail pour visite le 11/07<br />
<strong>21/07/2016 JACQUES G </strong>: reçu cde de 5 616 € de HZV320A-620x420x680mm<br />
<strong>20/07/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;vu M. Hurtelle pour présentation rapide et point sur évolution des besoins : retourner voir M. Telmard chef projet PSA et M. Dubois chef projet VW : voir CRV<br />
<strong>04/07/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;OK pour point sur VCI le mercredi 20/07 14h30<br />
<strong>16/06/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;aller rencontrer M. Hurtelle<br />
Quand Mme Têtu tombe en rupture de HOAZ560964 : lui proposer en dépannage des HOAZ560953 à 0,545 €/h<br />
CA 2014 de FAVI : 73 M€<br />
CA 2011 : 22 623 €&nbsp;&nbsp;&nbsp; 2012 : 13 839 €&nbsp;&nbsp;&nbsp; 2013 : 6 475 €&nbsp;&nbsp;&nbsp; 2014 : 3 126 €&nbsp;&nbsp;&nbsp; 2015 : 13 634 €&nbsp;&nbsp;&nbsp; 2016 : 8 430 €&nbsp;&nbsp;&nbsp; 12dmfinjuin"
FEDMOG;"<strong>19/12/2016&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;M. Baye cherche des housses pour coiffer des paniers 520 x 320 x 200 mm de segments en attente faire offre HZV320F-620x420x680mm et évoquer propreté particulaire et prévoir de passer le&nbsp;rencontrer<BR>&nbsp;<BR><BR>"
FEDCH;"<strong>11/07/2016&nbsp;GERALDINE D&nbsp;:</STRONG>&nbsp;<BR>CA 2011 : 1 061 €&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CA 2012 : 6 753 €&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CA 2013 : 3 903 €&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CA 2014 : 1 740 €&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CA 2015 : 0<BR><BR><BR>
<H1>Fédéral Mogul à Chasseneuil-du-Poitou : c'est fini</H1>
<DIV class=content>
<P><NOSCRIPT></NOSCRIPT>Les 241 salariés de l'usine Fédéral Mogul&nbsp;devraient recevoir leur lettre de licenciement le 9 octobre. Selon les syndicats, l'accord validant la fermeture définitive du site a été signé. La production va être délocalisée en Pologne et en Turquie.</P>
<DIV class=date>
<DIV class=text>
<DIV class=item-list>
<UL>
<LI class=first>Par Nicole Bremaud
<LI class=last>Publié le <TIME datetime=""2014-10-03T10:21:33+02:00"" itemprop=""datePublished"">03 octobre 2014 à 10:21</TIME>, mis à jour le <TIME datetime=""2014-10-03T10:26:12+02:00"" itemprop=""dateModified"">03 octobre 2014 à 10:26</TIME></LI></UL></DIV></DIV></DIV>
<DIV id=social_block_buttons>
<DIV class=facebook_shares>101</DIV>
<DIV class=""facebook_social_button social_button""><A class=fr3r_fb_link href=""http://www.facebook.com/sharer/sharer.php?u=http%3A%2F%2Ffrance3-regions.francetvinfo.fr%2Fpoitou-charentes%2F2014%2F10%2F03%2Ffederal-mogul-chasseneuil-du-poitou-c-est-fini-563740.html""><IMG src=""http://france3-regions.francetvinfo.fr/sites/all/modules/custom/fr3r_automatic_blocks/images/SHARE_WEB_H_Facebook.png""> </A></DIV>
<DIV class=""twitter_social_button social_button""><A class=fr3r_twitter_link href=""https://twitter.com/share?url=http%3A%2F%2Ffrance3-regions.francetvinfo.fr%2Fpoitou-charentes%2F2014%2F10%2F03%2Ffederal-mogul-chasseneuil-du-poitou-c-est-fini-563740.html&amp;text=Fédéral Mogul à Chasseneuil-du-Poitou : c'est fini - France 3 Poitou-Charentes""><IMG src=""http://france3-regions.francetvinfo.fr/sites/all/modules/custom/fr3r_automatic_blocks/images/SHARE_WEB_H_Twitter.png""> </A></DIV>
<DIV class=""google_social_button social_button""><A class=fr3r_google_link href=""https://plus.google.com/share?url=http%3A%2F%2Ffrance3-regions.francetvinfo.fr%2Fpoitou-charentes%2F2014%2F10%2F03%2Ffederal-mogul-chasseneuil-du-poitou-c-est-fini-563740.html""><IMG src=""http://france3-regions.francetvinfo.fr/sites/all/modules/custom/fr3r_automatic_blocks/images/SHARE_WEB_H_Google.png""> </A></DIV><A class=mail_button href=""mailto:?subject=Fédéral Mogul à Chasseneuil-du-Poitou : c'est fini France3 Poitou-Charentes&amp;body=Un ami veut partager l'article &quot;Fédéral Mogul à Chasseneuil-du-Poitou : c'est fini France3 Poitou-Charentes&quot; avec vous. http://france3-regions.francetvinfo.fr/poitou-charentes/2014/10/03/federal-mogul-chasseneuil-du-poitou-c-est-fini-563740.html""></A><A href=""javascript:print()""><SPAN class=print_button></SPAN></A><SPAN class=""zoom_moins_button text-down""></SPAN><SPAN class=""zoom_plus_button text-up""></SPAN></DIV>
<DIV class=""asset-wrapper asset aid-994180 asset-image""><A class=tobox href=""http://france3-regions.francetvinfo.fr/poitou-charentes/sites/regions_france3/files/assets/images/2014/10/03/prog353868.jpg""><IMG alt=""Le site de l&amp;#039;usine à Chasseneuil-du-Poitou © france 3"" src=""http://france3-regions.francetvinfo.fr/poitou-charentes/sites/regions_france3/files/styles/top_big/public/assets/images/2014/10/03/prog353868.jpg?itok=jYZszgnN"" width=640 height=360></A>
<P class=image-asset-description><SPAN>© france 3</SPAN> Le site de l'usine à Chasseneuil-du-Poitou</P></DIV></DIV>
<DIV id=text-sizes class=block-fr3-content-wrapper-content>
<DIV id=social_block_buttons_vertical class=sticky style=""POSITION: relative; FLOAT: right; PADDING-TOP: 0px; LEFT: 0px; TOP: 0px"">
<DIV class=facebook_shares_vertical>101</DIV>
<DIV class=facebook_social_button_vertical><A class=fr3r_fb_link href=""http://www.facebook.com/sharer/sharer.php?u=http%3A%2F%2Ffrance3-regions.francetvinfo.fr%2Fpoitou-charentes%2F2014%2F10%2F03%2Ffederal-mogul-chasseneuil-du-poitou-c-est-fini-563740.html""><IMG src=""http://france3-regions.francetvinfo.fr/sites/all/modules/custom/fr3r_automatic_blocks/images/SHARE_WEB_V_Facebook.png""> </A></DIV>
<DIV class=twitter_social_button_vertical><A class=fr3r_twitter_link href=""https://twitter.com/share?url=http%3A%2F%2Ffrance3-regions.francetvinfo.fr%2Fpoitou-charentes%2F2014%2F10%2F03%2Ffederal-mogul-chasseneuil-du-poitou-c-est-fini-563740.html&amp;text=Fédéral Mogul à Chasseneuil-du-Poitou : c'est fini - France 3 Poitou-Charentes""><IMG src=""http://france3-regions.francetvinfo.fr/sites/all/modules/custom/fr3r_automatic_blocks/images/SHARE_WEB_V_Twitter.png""> </A></DIV>
<DIV class=google_social_button_vertical><A class=fr3r_google_link href=""https://plus.google.com/share?url=http%3A%2F%2Ffrance3-regions.francetvinfo.fr%2Fpoitou-charentes%2F2014%2F10%2F03%2Ffederal-mogul-chasseneuil-du-poitou-c-est-fini-563740.html""><IMG src=""http://france3-regions.francetvinfo.fr/sites/all/modules/custom/fr3r_automatic_blocks/images/SHARE_WEB_V_Google.png""> </A></DIV></DIV>
<DIV class=content-fr3-content><strong>6 mois exactement après l'annonce par la direction du groupe&nbsp;de la cessation d'activité du site de Chasseneuil-du-Poitou, l'entreprise ferme définitivement ses portes.&nbsp;<BR><BR>Les salaries ont accepté la prime supra légale que leur a proposé la direction.</STRONG><BR><BR><BR><BR>Fédéral Mogul à Chasseneuil était le dernier fabriquant de piston alu en France.&nbsp;Les salariés&nbsp;ont dès l'annonce de la fermeture&nbsp;défendu leur outil de travail, manifesté. Ils ont réclamé une table ronde avec les constructeurs français. Ces fameux donneurs d'ordre,&nbsp;étant accusés par la direction du groupe d'être les responsables de la fermeture de l'usine de Chasseneuil, du fait de leur pression sur les prix,<BR>La concurrence est permanente et l'usine poitevine&nbsp;était comparée avec plusieurs usines de son propre groupe, aux coûts de fabrication bien inférieurs.<BR>Le groupe de Fédéral Mogul emploie 44 000 salariés dans le monde : Chasseneuil ne pèse que 0,5%<BR><BR><BR><BR><BR><BR></DIV></DIV>"
FEDEFR;
SINVEU;12/03/2013 : Sintertech quitte Federal Mogul pour rejoindre TMC (Thierry Morin C...)
VDLS;"<strong>12/09/2016&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;fait de la maintenance industrielle pour EDF<BR><strong>01/02/2013 JACQUES G :</STRONG> quitte Belleville sur Loire et s'installe&nbsp;à Beaulieu sur Loire<BR><BR>CA 2011 : 0 €&nbsp;&nbsp;&nbsp; 2012 : 0 €&nbsp;&nbsp;&nbsp; 2013 : 0 €&nbsp;&nbsp;&nbsp;&nbsp; 2014 : 0 €&nbsp;&nbsp;&nbsp; 2015 : 2 461 €"
FELIN;
FENWI;
CASTFE;"<strong>19/06/2017 JEAN-MICHEL B</strong>&nbsp;: visite effrdectuee avec Caroline auprès de Mme Vincent et M Giet voir cr<br />
<br />
<strong>10/06/2016&nbsp;JEAN-MICHEL B&nbsp;:</strong>&nbsp;essais dimensionnels housses réalisés le 08/06/2016 voir cr<br />
<br />
<strong>11/02/2016&nbsp;JEAN-MICHEL B&nbsp;:</strong>&nbsp;Visite effectuée le 09/02/2016 à la demande de LAURENT GIET pour un nouveau projet<br />
&nbsp;e<br />
FEURSMETAL devient CASTMETAL FEURS en 2013<br />
26/11/2013 : visite JGL / M. Delgado pour présentation d'Acobal et optimisation du portefeuille produits"
FICO;
KERP;"<strong>28/07/2017 JACQUES G</strong>&nbsp;:&nbsp;Résiliation de la garantie Euler Hermès<br />
<strong>24/08/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;tél M. Audreno pour savoir si bien reçu offre,&nbsp;si a commandé et si satisfait ?&nbsp; pas là : rappeler demain<br />
<strong>18/07/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;eu M. Audreno en ligne : besoin HGV450-835x640x1200mm une centaine/livraison : ddé offre à Carole<br />
<strong>12/07/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;demande de devis pour des sacs VCI de M. Audreno&nbsp;&nbsp;&nbsp; déménagent le 01/08/2016 au ZI de Kerfleury 11, rue de Restaou&nbsp; 29300 Rédéné<br />
&nbsp;"
FIGE;"<strong>22/02/2017 JEAN-MICHEL B</strong>&nbsp;:&nbsp;Visite effectuée le 21/02/2017 avec mme brehault et mme Venturino voir cr<br />
<br />
<strong>14/12/2015&nbsp;JEAN-MICHEL B&nbsp;:</strong>&nbsp;Contact Téléphonique avec ME BREHAULT, rdv pris le 21/01/2016&nbsp;<br />
<br />
<strong>10/12/2015&nbsp;CECILE G&nbsp;:</strong>&nbsp;Mme Anaïs BREHAULT (Acheteuse - Achats généraux)&nbsp;remplace Mr Alain FILHOL<br />
<br />
Pour les housses NF(Cu) : Mêmes prix que Deshors, Figeac et Prodem"
FIN;
NORD;"<strong>10/04/2017 JEAN-MICHEL B</strong>&nbsp;:&nbsp;mail de demande de rdv envoyé à M.VANDERPERRE<br />
<br />
<strong>01/12/2015&nbsp;JEAN-MICHEL B&nbsp;:</strong>&nbsp;demande de rdv envoyée par mail le 13/10/2015 à MME SIMON<br />
<br />
Mme Simon ne travaille pas le mercredi"
FLON;A fait faillite en 2013
FMI;
FLOR;14/06/2011 : voir FP ALU
FLO;
FMG;
FN;"<strong>17/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;visite PHL + JGL&nbsp;- information à 6 personnes côté cartoucherie au sujet de la corrosion du cuivre et présentation Acobal + visite atelier et prise en compte de leurs soucis de corrosion sur laiton et acier : voir CRV de PHL&nbsp;<BR>
<P>cfr viste du 28/04/2010 : rapport de visite, FAB, et FAP initiée.<BR>Ouverture d'un projet<BR>CA 2011 : 13 599 €&nbsp;&nbsp;&nbsp; 2012 : 7 797 €&nbsp;&nbsp;&nbsp; 2013 : 20 181 €&nbsp;&nbsp;&nbsp; 2014 : 6 357 €&nbsp;&nbsp;&nbsp;2015 : 7 608 €&nbsp;&nbsp;&nbsp; 2016 : 9 035 €</P>"
FDC;
FMA;"23/06/2015 : JGL : livrés par Ocopa 35 Le Rheu<BR>11/05/2010 : Mme Blondel dit à JGL :&nbsp;cde passée à la concurrence car livraisons + petites et moins chères : en tenir compte pour prochaine consult&nbsp;<BR>20/04/2010 : offre JGL 10/149"
FONDN;
FONDER;"<strong>01/12/2015&nbsp;JEAN-MICHEL B&nbsp;:</STRONG>&nbsp;mail envoyé le 21/10/2015 à MR FOURQUEMIN nouvel acheteur<BR><BR>"
FONV;
FI;
